ano,mes,partido,regiao,parlamentar,descricao,valor_documento,valor_glosa,valor_liquido
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,106.02,0.0,106.02
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,122.89,0.0,122.89
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,50.0,0.0,50.0
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,145.0,0.0,145.0
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,138.02,0.0,138.02
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,80.0,0.0,80.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,60.0,0.0,60.0
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,86.9,0.0,86.9
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,182.14,0.0,182.14
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,130.0,0.0,130.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,50.02,0.0,50.02
2020,1,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,50.0,0.0,50.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,124.01,0.0,124.01
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,109.15,0.0,109.15
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,50.0,0.0,50.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,195.02,0.0,195.02
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,90.0,0.0,90.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,243.41,0.0,243.41
2020,3,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,214.05,0.0,214.05
2020,1,PT,Sudeste,P006,TELEFONIA,887.62,17.69,869.93
2020,2,PT,Sudeste,P006,TELEFONIA,820.94,18.96,801.98
2020,1,PT,Sudeste,P006,TELEFONIA,863.23,21.11,842.12
2020,1,PT,Sudeste,P006,SERVIÇOS POSTAIS,16.3,0.0,16.3
2020,2,PT,Sudeste,P006,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,24.46,0.0,24.46
2020,1,PT,Sudeste,P006,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",600.0,0.0,600.0
2020,2,PT,Sudeste,P006,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",114.5,0.0,114.5
2020,2,PT,Sudeste,P006,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",135.0,0.0,135.0
2020,2,PT,Sudeste,P006,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",175.0,0.0,175.0
2020,2,PT,Sudeste,P006,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",89.0,0.0,89.0
2020,1,PT,Sudeste,P006,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,3600.0,0.0,3600.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36.0,0.0,36.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",44.0,0.0,44.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",45.0,0.0,45.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",35.0,0.0,35.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",43.0,0.0,43.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",29.0,0.0,29.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",44.0,0.0,44.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",44.0,0.0,44.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9.5,0.0,9.5
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9.6,0.0,9.6
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",17.0,0.0,17.0
2020,2,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",44.0,0.0,44.0
2020,3,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",39.0,0.0,39.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25.0,0.0,25.0
2020,2,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25.0,0.0,25.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25.0,0.0,25.0
2020,1,PT,Sudeste,P006,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20.0,0.0,20.0
2020,1,PT,Sudeste,P006,Emissão Bilhete Aéreo,764.89,0.0,764.89
2020,1,PT,Sudeste,P006,Emissão Bilhete Aéreo,771.95,0.0,771.95
2020,1,REPUBLICANOS,Sudeste,P007,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,211.67,0.0,211.67
2020,2,REPUBLICANOS,Sudeste,P007,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,307.7,0.0,307.7
2020,2,REPUBLICANOS,Sudeste,P007,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,13.0,0.0,13.0
2020,1,REPUBLICANOS,Sudeste,P007,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,105.66,0.0,105.66
2020,2,REPUBLICANOS,Sudeste,P007,COMBUSTÍVEIS E LUBRIFICANTES.,300.0,0.0,300.0
